Output_audio\part_from_join.mp3
fr=24400;to=24500;avr=24450;rms=4678
fr=24500;to=24600;avr=24550;rms=4679
fr=24600;to=24700;avr=24650;rms=4678
fr=24700;to=24800;avr=24750;rms=4678
fr=24800;to=24900;avr=24850;rms=4678
fr=24900;to=25000;avr=24950;rms=4679
fr=25000;to=25100;avr=25050;rms=4679
fr=25100;to=25200;avr=25150;rms=4678
fr=25200;to=25300;avr=25250;rms=4678
fr=25300;to=25400;avr=25350;rms=4678
fr=25400;to=25500;avr=25450;rms=4678
fr=25500;to=25600;avr=25550;rms=4678
fr=25600;to=25700;avr=25650;rms=4678
fr=25700;to=25800;avr=25750;rms=4678
fr=25800;to=25900;avr=25850;rms=4678
fr=25900;to=26000;avr=25950;rms=4678
fr=26000;to=26100;avr=26050;rms=4679
fr=26100;to=26200;avr=26150;rms=4678
fr=26200;to=26300;avr=26250;rms=4678
fr=26300;to=26400;avr=26350;rms=4678
fr=26400;to=26500;avr=26450;rms=4678
fr=26500;to=26600;avr=26550;rms=4678
fr=26600;to=26700;avr=26650;rms=4678
fr=26700;to=26800;avr=26750;rms=4679
fr=26800;to=26900;avr=26850;rms=4678
fr=26900;to=27000;avr=26950;rms=4678
fr=27000;to=27100;avr=27050;rms=4678
fr=27100;to=27200;avr=27150;rms=4678
fr=27200;to=27300;avr=27250;rms=4678
fr=27300;to=27400;avr=27350;rms=4678
fr=27400;to=27500;avr=27450;rms=4678
fr=27500;to=27600;avr=27550;rms=4678
fr=27600;to=27700;avr=27650;rms=4678
fr=27700;to=27800;avr=27750;rms=4678
fr=27800;to=27900;avr=27850;rms=4679
fr=27900;to=28000;avr=27950;rms=4678
fr=28000;to=28100;avr=28050;rms=4678
fr=28100;to=28200;avr=28150;rms=4678
fr=28200;to=28300;avr=28250;rms=4678
fr=28300;to=28400;avr=28350;rms=4678
fr=28400;to=28500;avr=28450;rms=4678
fr=28500;to=28600;avr=28550;rms=4679
fr=28600;to=28700;avr=28650;rms=4678
fr=28700;to=28800;avr=28750;rms=4678
fr=28800;to=28900;avr=28850;rms=4678
fr=28900;to=29000;avr=28950;rms=4678
fr=29000;to=29100;avr=29050;rms=4678
fr=29100;to=29200;avr=29150;rms=4678
fr=29200;to=29300;avr=29250;rms=4679
fr=29300;to=29400;avr=29350;rms=4678
fr=29400;to=29500;avr=29450;rms=4678
fr=29500;to=29600;avr=29550;rms=4678
fr=29600;to=29700;avr=29650;rms=4679
fr=29700;to=29800;avr=29750;rms=4678
fr=29800;to=29900;avr=29850;rms=4678
fr=29900;to=30000;avr=29950;rms=4678
fr=30000;to=30100;avr=30050;rms=4678
fr=30100;to=30200;avr=30150;rms=4678
fr=30200;to=30300;avr=30250;rms=4678
fr=30300;to=30400;avr=30350;rms=4678
fr=30400;to=30500;avr=30450;rms=4678
fr=30500;to=30600;avr=30550;rms=4678
fr=30600;to=30700;avr=30650;rms=4678
fr=30700;to=30800;avr=30750;rms=4678
fr=30800;to=30900;avr=30850;rms=4678
fr=30900;to=31000;avr=30950;rms=4678
fr=31000;to=31100;avr=31050;rms=4678
fr=31100;to=31200;avr=31150;rms=4678
fr=31200;to=31300;avr=31250;rms=4679
fr=31300;to=31400;avr=31350;rms=4678
fr=31400;to=31500;avr=31450;rms=4679
fr=31500;to=31600;avr=31550;rms=4678
fr=31600;to=31700;avr=31650;rms=4678
fr=31700;to=31800;avr=31750;rms=4678
fr=31800;to=31900;avr=31850;rms=4678
fr=31900;to=32000;avr=31950;rms=4678
fr=32000;to=32100;avr=32050;rms=4678
fr=32100;to=32200;avr=32150;rms=4678
fr=32200;to=32300;avr=32250;rms=4679
fr=32300;to=32400;avr=32350;rms=4678
fr=32400;to=32500;avr=32450;rms=4679
fr=32500;to=32600;avr=32550;rms=4678
fr=32600;to=32700;avr=32650;rms=4678
fr=32700;to=32800;avr=32750;rms=4678
fr=32800;to=32900;avr=32850;rms=4679
fr=32900;to=33000;avr=32950;rms=4678
fr=33000;to=33100;avr=33050;rms=4678
fr=33100;to=33200;avr=33150;rms=4678
fr=33200;to=33300;avr=33250;rms=4679
fr=33300;to=33400;avr=33350;rms=4678
fr=33400;to=33500;avr=33450;rms=4678
fr=33500;to=33600;avr=33550;rms=4678
fr=33600;to=33700;avr=33650;rms=4678
fr=33700;to=33800;avr=33750;rms=4678
fr=33800;to=33900;avr=33850;rms=4678
fr=33900;to=34000;avr=33950;rms=4679
fr=34000;to=34100;avr=34050;rms=4678
fr=34100;to=34200;avr=34150;rms=4678
fr=34200;to=34300;avr=34250;rms=4678
fr=34300;to=34400;avr=34350;rms=4678
fr=34400;to=34500;avr=34450;rms=4678
fr=34500;to=34600;avr=34550;rms=4678
fr=34600;to=34700;avr=34650;rms=4678
fr=34700;to=34800;avr=34750;rms=4678
fr=34800;to=34900;avr=34850;rms=4678
fr=34900;to=35000;avr=34950;rms=4678
fr=35000;to=35100;avr=35050;rms=4679
fr=35100;to=35200;avr=35150;rms=4678
fr=35200;to=35300;avr=35250;rms=4678
fr=35300;to=35400;avr=35350;rms=4678
fr=35400;to=35500;avr=35450;rms=4678
fr=35500;to=35600;avr=35550;rms=4678
fr=35600;to=35700;avr=35650;rms=4678
fr=35700;to=35800;avr=35750;rms=4679
fr=35800;to=35900;avr=35850;rms=4678
fr=35900;to=36000;avr=35950;rms=4678
fr=36000;to=36100;avr=36050;rms=4678
fr=36100;to=36200;avr=36150;rms=4678
fr=36200;to=36300;avr=36250;rms=4678
fr=36300;to=36400;avr=36350;rms=4678
fr=36400;to=36500;avr=36450;rms=4678
fr=36500;to=36600;avr=36550;rms=4678
fr=36600;to=36700;avr=36650;rms=4678
fr=36700;to=36800;avr=36750;rms=4678
fr=36800;to=36900;avr=36850;rms=4679
fr=36900;to=37000;avr=36950;rms=4678
fr=37000;to=37100;avr=37050;rms=4678
fr=37100;to=37200;avr=37150;rms=4679
fr=37200;to=37300;avr=37250;rms=4678
fr=37300;to=37400;avr=37350;rms=4678
fr=37400;to=37500;avr=37450;rms=4678
fr=37500;to=37600;avr=37550;rms=4679
fr=37600;to=37700;avr=37650;rms=4679
fr=37700;to=37800;avr=37750;rms=4678
fr=37800;to=37900;avr=37850;rms=4678
fr=37900;to=38000;avr=37950;rms=4679
fr=38000;to=38100;avr=38050;rms=4678
fr=38100;to=38200;avr=38150;rms=4678
fr=38200;to=38300;avr=38250;rms=4678
fr=38300;to=38400;avr=38350;rms=4679
